AXIOMA_ID,COUNTRY,RETURN,TSO
101,UK,0.06557380075751773,525695
102,UK,-0.04569141683605163,161476
103,Canada,0.09305036607815395,406955
104,USA,-0.008546967677254297,267280
105,Canada,0.06840461500239628,775510
106,USA,-0.0611239932010254,695468
107,UK,-0.01772921898866428,798646
108,USA,0.03990244215343877,737144
109,USA,-0.07232938151643974,954882
110,USA,-0.07345091555140604,514568
111,UK,0.09390737342283181,286141
112,UK,0.04291902083599042,998320
113,USA,-0.09178649664642485,734736
114,USA,-0.02023581971104109,638685
115,Canada,-0.013295852483851595,278031
116,USA,0.04880852859982307,219180
117,Canada,-0.049827894530667764,166234
118,USA,-0.063133265133726,664242
119,Canada,-0.08382540667656047,278352
120,UK,-0.014337105011978449,179459
121,USA,0.03769998015307327,509995
122,USA,-0.08836128089831129,295004
123,USA,0.08304274552529609,566152
124,USA,-0.011529554053779117,825256
125,Canada,-0.052042528168519356,159163
126,USA,-0.08122534198374165,575853
127,UK,-0.06342680057853853,151934
128,UK,0.08692279946794196,820255
129,USA,0.027654118768670077,525523
130,UK,0.0033392514853133326,940530
131,USA,0.03142226570003337,554137
132,USA,-0.012865420264421792,105486
133,UK,0.0460078633123637,239407
134,USA,-0.09045677446167025,973332
135,UK,0.013207442098815261,750308
136,Canada,-0.0682707104715018,727083
137,USA,-0.07596707043887158,320184
138,Canada,-0.031624066656719685,766490
139,UK,-0.08164018683731163,449652
140,Canada,-0.08116860234628798,861315
141,Canada,-0.03771733812174116,742612
142,UK,0.09590210572430172,422710
143,Canada,-0.06493394602213229,297775
144,Canada,-0.09656777963364996,389336
145,UK,0.052672884600782205,887494
146,Canada,0.061382595410155893,708364
147,UK,-0.030739135782119842,189780
148,Canada,-0.007065237412077721,252617
149,UK,0.029954736528552683,645977
150,UK,-0.09038821516059325,897606
151,Canada,0.08982914631827718,450605
152,Canada,0.07733607745960952,989465
153,Canada,-0.04782127533165721,633636
154,USA,-0.09693909194192306,138102
155,USA,0.0866872616158966,174460
156,USA,0.0002079767830518442,464778
157,UK,0.007875489680012504,189930
158,Canada,0.036792753879628215,631089
159,UK,0.02317023287798277,727438
160,USA,0.08877832091215143,827627
161,Canada,0.08885031942503349,279208
162,UK,0.07343978671100077,254697
163,Canada,0.027280719489202243,313945
164,UK,0.06018985893647996,331915
165,Canada,0.03543366847659635,827952
166,USA,0.014673408334386656,308124
167,USA,-0.07429992935321797,537477
168,Canada,0.062240835347200596,625830
169,UK,0.06412789514879108,383821
170,USA,0.02518793402031455,277804
171,USA,0.06408536875425361,805703
172,USA,0.030296954371557605,139081
173,Canada,-0.05866312802465093,818216
174,Canada,-0.04520777453577325,455249
175,UK,-0.057082176058325176,319930
176,UK,-0.024548183354404826,905497
177,UK,-0.09220737353795327,617313
178,Canada,0.023650776867578577,314532
179,Canada,-0.03268915702225471,712380
180,UK,0.031144527076148426,619332
181,UK,-0.02292067580688699,416837
182,Canada,0.03632273379455794,389106
183,UK,-0.03187508610715199,128295
184,USA,-0.04786109435281938,113807
185,Canada,-0.000792509141318759,535564
186,UK,0.03857807173838787,257504
187,Canada,-0.030332679109360536,338067
188,USA,0.08732963037114147,585008
189,Canada,-0.09216273466487075,792440
190,Canada,-0.01641079365688425,494540
191,Canada,0.0935161103040495,977699
192,Canada,0.009594376649617459,617923
193,USA,-0.01530581153837629,266981
194,Canada,0.013704056749991672,844699
195,Canada,0.015184915051616926,119870
196,UK,0.04632955105992803,303196
197,Canada,-0.07446205411550688,348683
198,UK,-0.04999671015677907,334677
199,USA,0.016108802468781963,126790
200,USA,0.07342332144194441,743162
